year,inflation_rate
1960,5.44432736187238
1961,6.27914723477519
1962,5.26563234621725
1963,-2.69465535232729
1964,0.856793145737561
1965,4.1034587381162
1966,9.69034608375115
1967,-3.72633676514213
1968,-0.476059059060828
1969,10.1559792028219
1970,13.757079924793
1971,15.9991148482235
1972,3.45764975201502
1973,5.40266445394219
1974,12.674393177433
1975,33.9641883221776
1976,24.2999999999997
1977,15.0878340572688
1978,21.7092457416664
1979,11.7097306212117
1980,9.97226199001429
1981,20.8128229121949
1982,7.69774724714248
1983,23.2123315511559
1984,17.8205332860842
1985,7.43534482758627
1986,5.71715145436308
1987,11.2903225806451
1988,54.5112247797672
1989,50.4666881235916
1990,7.36440030557697
1991,13.0069731037427
1992,44.588842715023
1993,57.1652528349217
1994,57.031708911966
1995,72.8355022972636
1996,29.2682926829272
1997,8.52987421383633
1998,9.99637812386806
1999,6.61837339479756
2000,6.9332921556516
2001,18.8736462093863
2002,12.8765792031099
2003,14.0317836131437
2004,14.9980338183251
2005,17.8634933661605
2006,8.22743678120907
2007,5.38610421570143
2008,11.583054796681
2009,12.5379242951095
2010,13.7400521363694
2011,10.8261371880018
2012,12.2242413020582
2013,8.49551838265678
2014,8.04741087967907
2015,9.00943498007706
2016,15.6968126387972
2017,16.5022662139641
2018,12.0951065173432
2019,11.3964223378115
2020,13.2460234276598
2021,16.9528457221608
2022,18.8471877843274
2023,24.659550203114
2024,33.2416590552749
2025,23.0101235833333
