year,INFL,INT,EXC,MS,FDI
1985,7.43534482758627,9.43333333291667,0.893774083333333,23153000000.0,0.658452659833293
1986,5.71715145436308,9.95916666666667,1.75452300407481,23605200000.0,0.352544296705448
1987,11.2903225806451,13.9616666666667,4.0160373443363,28895400000.0,1.15906979546217
1988,54.5112247797672,16.6166666666667,4.53696666666667,38405800000.0,0.762696401992634
1989,50.4666881235916,20.4416666666667,7.364735,43370900000.0,4.2820878623584
1990,7.36440030557697,25.3,8.038285,57553630000.0,1.08795098954185
1991,13.0069731037427,20.0416666666667,9.90949166666666,79067300000.0,1.19672645365892
1992,44.588842715023,24.7583333333333,17.298425,129085474625.71,1.7223830155852
1993,57.1652528349217,31.65,22.0654,198479203185.89,2.37190347099572
1994,57.031708911966,20.4833333333333,21.996,266944886466.51,2.43685234729338
1995,72.8355022972636,20.2333333333333,21.8952583333333,318763466353.89,0.238321527429399
1996,29.2682926829272,19.8366666666667,21.884425,370333525470.18,0.26881827016538
1997,8.52987421383633,17.795,21.88605,429731330539.88,0.233794418819082
1998,9.99637812386806,18.1841666666667,21.886,525637727180.08,0.137154046877584
1999,6.61837339479756,20.29,92.3381,699734504725.31,1.69906893526275
2000,6.9332921556516,21.2741666666667,101.697333333333,1036079546576.85,1.64832098964767
2001,18.8736462093863,23.4383333333333,111.23125,1309364180812.14,1.61861555824339
2002,12.8765792031099,24.7708333333333,120.578158333333,1555800900000.0,1.97158413526786
2003,14.0317836131437,20.7141666666667,129.22235,1766010900000.0,1.91462056992191
2004,14.9980338183251,19.1808333333333,132.888025,2131169424825.48,1.38037387490881
2005,17.8634933661605,17.9483333333333,131.274333333333,2612891130000.0,2.83629405374322
2006,8.22743678120907,16.8933333333333,128.651666666667,3562695900000.0,2.03575267319875
2007,5.38610421570143,16.9391666666667,125.808108333333,6689365869679.82,2.16919536982392
2008,11.583054796681,15.1358333333333,118.566666666667,9513845555158.3,2.41373918254011
2009,12.5379242951095,18.9908333333333,148.88,10928017136279.7,2.90024873175983
2010,13.7400521363694,17.585,150.2975,11662911791941.1,1.64207369186652
2011,10.8261371880018,16.02,153.8625,14192086085339.0,2.133117701613
2012,12.2242413020582,16.7916666666667,157.5,18035937096111.0,1.52378233769127
2013,8.49551838265678,16.7225,157.311666666667,20615452342431.6,1.06953936497778
2014,8.04741087967907,16.5483333333333,158.552641666667,20451731207347.0,0.817478467870197
2015,9.00943498007706,16.8491666666667,192.440333333333,21288239046977.8,0.621501637000126
2016,15.6968126387972,16.8680157641191,253.492,28083906609170.8,0.853395742751916
2017,16.5022662139641,17.5533333333333,305.790109160005,28473663240182.4,0.642182922336257
2018,12.0951065173432,16.9038969646886,306.083688245234,32739618793410.7,0.183821495682229
2019,11.3964223378115,15.3765869808333,306.920951495222,34850876017000.0,0.344961215906745
2020,13.2460234276598,13.6420216718796,358.810797258297,38904920077173.2,0.398484830423335
2021,16.9528457221608,11.4831327947137,401.152029220779,44443974745466.1,0.543909122159359
2022,18.8471877843274,12.3345442352326,425.979158066857,52187272987000.0,-0.0288727652155146
